,Country,White Shark (Y/N),Fatal (Y/N)
0,USA,White Shark,N
3,AUSTRALIA,Other,N
4,MEXICO,Other,N
6,BRAZIL,Other,Y
7,USA,Other,N
8,USA,Other,N
10,AUSTRALIA,Other,N
13,ENGLAND,Other,N
14,AUSTRALIA,Other,N
16,AUSTRALIA,Other,N
18,COSTA RICA,Other,N
20,AUSTRALIA,Other,N
21,AUSTRALIA,Other,N
22,AUSTRALIA,White Shark,N
23,MALDIVES,Other,N
24,SOUTH AFRICA,White Shark,N
25,USA,Other,N
26,THAILAND,Other,N
30,BAHAMAS,Other,N
31,BRAZIL,Other,N
32,NEW CALEDONIA,Other,N
33,BAHAMAS,Other,N
34,SOUTH AFRICA,White Shark,N
35,USA,Other,N
36,AUSTRALIA,Other,N
37,AUSTRALIA,Other,N
38,AUSTRALIA,Other,N
39,SOUTH AFRICA,Other,N
40,AUSTRALIA,White Shark,N
42,AUSTRALIA,Other,N
43,AUSTRALIA,Other,N
44,BRAZIL,Other,N
45,ECUADOR,Other,N
46,AUSTRALIA,Other,N
47,AUSTRALIA,Other,N
48,NEW CALEDONIA,Other,N
49,AUSTRALIA,Other,N
50,AUSTRALIA,White Shark,N
51,BRAZIL,Other,N
52,AUSTRALIA,Other,N
53,USA,Other,N
55,MALAYSIA,Other,N
56,BAHAMAS,Other,N
57,COSTA RICA,Other,N
58,COSTA RICA,Other,Y
59,LIBYA,Other,Y
60,USA,White Shark,N
63,AUSTRALIA,Other,N
64,CUBA,Other,Y
65,AUSTRALIA,Other,N
66,AUSTRALIA,Other,N
71,AUSTRALIA,White Shark,N
72,NEW ZEALAND,Other,N
73,USA,Other,N
74,USA,Other,N
75,USA,Other,N
77,USA,Other,N
78,AUSTRALIA,White Shark,N
80,USA,Other,N
82,SPAIN,Other,N
86,AUSTRALIA,White Shark,N
87,USA,Other,N
89,AUSTRALIA,White Shark,N
93,USA,Other,N
96,AUSTRALIA,White Shark,N
100,USA,White Shark,N
101,BAHAMAS,Other,N
102,USA,Other,N
103,EGYPT,White Shark,N
104,USA,Other,N
105,USA,White Shark,N
112,USA,Other,N
113,SPAIN,Other,N
114,USA,Other,N
116,USA,White Shark,N
117,USA,White Shark,N
118,USA,White Shark,N
120,USA,White Shark,N
121,USA,Other,N
122,MEXICO,Other,N
123,SOUTH AFRICA,White Shark,N
128,USA,Other,N
129,REUNION,Other,N
133,AUSTRALIA,White Shark,N
134,AUSTRALIA,Other,N
136,UNITED KINGDOM,Other,N
137,USA,Other,N
138,BAHAMAS,Other,N
139,USA,Other,N
140,USA,Other,N
143,AUSTRALIA,Other,N
155,AUSTRALIA,White Shark,Y
156,USA,Other,N
166,USA,Other,N
169,USA,White Shark,N
170,PHILIPPINES,Other,N
171,BAHAMAS,Other,N
172,AUSTRALIA,Other,N
177,BRAZIL,Other,N
178,SOUTH AFRICA,Other,N
179,USA,White Shark,N
180,BAHAMAS,Other,N
183,AUSTRALIA,Other,N
186,INDONESIA,Other,N
191,AUSTRALIA,Other,N
192,SOUTH AFRICA,White Shark,N
196,AUSTRALIA,Other,N
197,AUSTRALIA,White Shark,N
198,AUSTRALIA,Other,N
199,USA,Other,N
203,USA,Other,N
211,AUSTRALIA,White Shark,N
217,AUSTRALIA,Other,N
219,USA,Other,N
220,USA,Other,N
225,USA,White Shark,N
227,USA,Other,N
229,REUNION,Other,N
232,USA,Other,N
233,USA,Other,N
234,SPAIN,Other,N
236,AUSTRALIA,White Shark,N
237,USA,Other,N
241,BAHAMAS,Other,N
242,AUSTRALIA,Other,N
243,USA,Other,N
246,USA,White Shark,N
248,BAHAMAS,Other,N
249,SPAIN,Other,N
250,USA,White Shark,N
251,USA,Other,N
252,USA,White Shark,N
254,AUSTRALIA,Other,N
255,USA,Other,N
257,COLUMBIA,Other,N
258,SOUTH AFRICA,White Shark,N
259,USA,Other,N
261,USA,Other,N
262,AUSTRALIA,Other,N
263,USA,Other,N
264,USA,Other,N
267,AUSTRALIA,Other,Y
268,EGYPT,Other,N
270,NEW CALEDONIA,Other,N
271,AUSTRALIA,White Shark,Y
273,USA,Other,N
275,USA,Other,N
277,USA,Other,N
278,USA,Other,N
280,NEW ZEALAND,Other,N
281,INDONESIA,Other,N
283,SOUTH AFRICA,White Shark,N
284,AUSTRALIA,Other,N
285,FRENCH POLYNESIA,Other,N
286,FRENCH POLYNESIA,Other,N
287,USA,Other,N
288,NEW CALEDONIA,Other,Y
290,USA,Other,N
296,BAHAMAS,Other,N
301,AUSTRALIA,Other,N
302,BRAZIL,Other,N
310,BRAZIL,Other,N
312,USA,Other,N
314,USA,Other,N
315,UNITED ARAB EMIRATES,Other,N
316,USA,Other,N
317,AUSTRALIA,Other,N
318,AUSTRALIA,Other,N
319,AUSTRALIA,Other,N
320,SOUTH AFRICA,White Shark,N
321,SPAIN,Other,N
322,USA,Other,N
323,AUSTRALIA,Other,N
324,BRAZIL,Other,N
326,AUSTRALIA,White Shark,N
327,BAHAMAS,Other,N
329,ECUADOR,Other,N
332,USA,Other,N
333,AUSTRALIA,Other,N
336,USA,Other,N
340,SOUTH AFRICA,White Shark,N
341,USA,Other,N
342,USA,Other,N
345,USA,Other,N
346,USA,Other,N
348,USA,Other,N
352,USA,Other,N
353,USA,Other,N
354,USA,Other,N
356,USA,White Shark,N
357,USA,Other,N
358,USA,Other,N
359,USA,Other,N
361,USA,Other,N
364,AUSTRALIA,Other,N
365,USA,White Shark,N
366,USA,Other,N
367,AUSTRALIA,White Shark,N
368,USA,Other,N
